,r,b,tau,kk
19870,1.2670830129170884e-11,177.4093863078831,31.562349554933395,-4.845086796592009
27636,1.2096126669427701e-11,183.69435143972788,31.552556070755287,-5.5332711638993874
21574,1.0438628796567116e-11,224.9454917815072,31.587174922768888,-8.300742197665445
27761,1.2445003244262443e-11,170.42277414992208,30.646287133266746,-4.943827790873897
28031,1.1692307419277418e-11,180.94000674737413,30.6715663058619,-5.385595926535763
24771,1.2673910163635641e-11,163.59347043027233,30.078406893100425,-5.401567920139788
19153,1.3455842339911134e-11,152.96739603392697,30.74217561150485,-3.297660797420898
23875,1.3831127592046426e-11,148.9827615572454,30.130929322889916,-4.904115169323959
17755,1.1753833050055317e-11,196.90768737019448,32.049127932012055,-6.198287667278537
22976,1.2562218986122777e-11,176.58829881541064,31.45276469629286,-5.759919639140648
24442,1.160119578163516e-11,193.23282333935617,30.78496550771967,-7.217794060165721
26798,1.2457126814761252e-11,175.29097235984176,30.07785442143217,-6.273400304936319
27812,1.1994605255658135e-11,192.10633311614566,31.932566315933478,-6.644485125387087
