,r,b,tau
23146,0.028223864701872717,167.0817092032507,56.47225586417702
22032,0.027937546697160875,172.19848852181067,59.94507589777767
23935,0.027165352275012128,157.61721696344378,56.388791710416704
26611,0.026815690270202752,249.44317120316188,64.81518624989002
17184,0.0299101000307858,179.69189744130432,59.578297465330834
24929,0.027561485972074355,254.30998944542634,67.3670327630959
23404,0.03707904116245814,283.5194282311776,76.03376763473297
19246,0.0285574536534967,238.89769639306303,65.72445138251825
27561,0.03596309262890057,233.34220756079986,71.31513216434388
26335,0.02902810451833831,197.6755181523284,63.29791222807725
27962,0.03232697559141533,258.28214728998546,70.80326727792757
22517,0.0376909324301316,250.97611379276904,73.2197293360315
17877,0.024826031541186618,208.75508191345975,55.668867746897305
22954,0.031068937901803137,197.45727913708845,63.32453896614137
25223,0.029396585376256106,173.68773964336924,59.22629439290659
24471,0.035170125110859866,258.5251271488719,74.64230582969986
25693,0.03582639305805771,324.52253051121704,78.5038474887237
26085,0.027703591683201172,195.27910367918275,58.969611531215115
20629,0.0275797012426192,167.86468741688788,55.88799900386004
22938,0.03692918054116833,283.93744267037016,78.13729348860718
20162,0.028726886679465866,297.93707995744575,67.58994734569892
18924,0.030322462890014504,204.22044909771398,63.25581105779907
25329,0.037257737065958516,294.8362090700185,77.85068818245101
23454,0.034429995860985614,228.2218867976268,68.47823072541395
16503,0.03424872022539276,195.00304077181755,68.42345096712936
25212,0.02855509144780674,291.2654547942719,67.21902393006401
23370,0.038395305118785285,246.25622553226208,73.81610466287339
25017,0.03516414513835668,219.76590740013154,69.70024710526906
16710,0.03400380147539538,253.44125576510984,69.83306433185231
17373,0.03572769542250205,246.484317746717,72.05454256523053
17115,0.03132146666435775,263.16446878004456,70.06031124510793
25602,0.035986609498795966,168.14123341478782,63.70604804170875
16700,0.03237226963146159,178.13370768033622,62.15688042152091
21279,0.02470194877280468,213.43347544359375,55.50573287272102
16572,0.03218684191210626,198.4395996746891,65.5090575788763
18570,0.029105755707109195,181.57856644212376,63.08493813837187
18865,0.031309649565925454,216.51900080295246,64.90299321254938
26858,0.027923623596026407,234.839056221904,62.59175096007392
